timestamp,netin,netout,diskin,diskout,cpu,ram
2019-12-09 11:32:02,30,1061,962,7244,42.3,82.4
2019-12-09 11:33:02,54,1372,15400,14372,53.4,82.8
2019-12-09 11:40:04,145,3012,3506,27169,54.6,81.3
2019-12-09 11:41:03,226,2555,90096,19079,74.3,83.3
2019-12-09 11:42:00,49,969,25183,11715,46.7,80.9
2019-12-09 11:43:03,116,2038,18775,38753,84.2,82.8
2019-12-09 11:44:04,92,1749,1929,21473,82.1,81.7
2019-12-09 11:45:01,36,1092,1994,10186,42.3,80.0
2019-12-09 11:46:07,392,4665,44727,39962,74.5,80.6
2019-12-09 11:47:03,37,1026,3039,13646,44.0,78.7
2019-12-09 11:48:00,91,1937,8875,44207,59.0,81.1
2019-12-09 11:49:03,300,1260,9820,10043,59.8,81.4
2019-12-09 11:50:01,66,1473,19485,11215,49.0,81.0
2019-12-09 11:51:06,523,18318,61263,471482,96.3,84.4
2019-12-09 11:52:02,245,18309,9856,198452,83.8,82.0
2019-12-09 11:53:06,152,11695,2113,36208,58.4,82.3
2019-12-09 11:54:06,197,8897,34923,62955,72.1,83.3
2019-12-09 11:55:03,37,411,8817,15204,61.0,83.9
2019-12-09 11:56:08,46,287,1437,43699,59.9,83.6
2019-12-09 11:57:00,244,8410,4536,18815,58.1,84.6
2019-12-09 11:58:07,468,28945,5005,39811,62.4,84.5
2019-12-09 11:59:01,266,10949,2742,40710,59.2,84.6
2019-12-09 12:00:00,113,2615,5342,9106,46.3,85.5
2019-12-09 12:01:10,281,10188,15642,20636,83.8,86.5
2019-12-09 12:02:03,83,4564,2071,11293,51.8,83.6
2019-12-09 12:03:02,37,1940,1269,4972,46.1,83.6
2019-12-09 12:04:02,30,54,3708,3589,51.1,82.1
2019-12-09 12:05:02,20,603,1574,3084,48.4,83.3
2019-12-09 12:06:07,142,6566,14488,13990,58.2,85.7
2019-12-09 12:07:04,35,162,29130,12413,44.6,85.7
2019-12-09 12:08:05,16,38,4356,38296,33.7,83.5
2019-12-09 12:09:06,14,40,1263,15069,33.6,82.0
2019-12-09 12:10:00,16,45,192,19014,33.1,81.1
2019-12-09 12:11:01,17,40,1159,2408,32.8,81.2
2019-12-09 12:12:03,10,25,8089,2483,35.4,81.9
2019-12-09 12:13:04,13,38,427,4984,34.8,81.6
2019-12-09 12:14:05,17,36,94,9540,33.6,79.7
2019-12-09 12:15:05,7,28,225,2396,31.8,79.7
2019-12-09 12:16:05,34,57,98,2346,32.0,79.8
2019-12-09 12:17:06,9,36,32428,2877,32.8,80.7
2019-12-09 12:18:00,20,131,7155,4946,32.1,80.5
2019-12-09 12:19:00,16,48,327,18079,31.9,77.6
2019-12-09 12:20:00,6,24,28,2606,30.2,77.6
2019-12-09 12:21:01,24,47,311,2813,30.7,77.7
2019-12-09 12:22:00,8,28,311,10736,31.0,78.0
2019-12-09 12:23:00,9,33,2376,1748,30.2,77.4
2019-12-09 12:24:06,37,91,1013,5788,30.5,77.7
2019-12-09 12:25:06,11,35,311,2306,29.7,77.8
2019-12-09 12:26:05,13,35,200,2200,29.9,77.5
2019-12-09 12:27:05,9,24,212,4426,31.7,77.8
2019-12-09 12:28:06,26,130,177345,6215,34.1,77.8
2019-12-09 12:29:00,23,50,2182,5857,34.0,77.8
2019-12-09 12:30:06,6,24,1343,3744,30.2,77.8
2019-12-09 12:31:06,14,38,81,2772,28.2,77.9
2019-12-09 12:32:57,43,85,49610,6492,45.1,80.9
2019-12-09 12:33:07,116,166,18073,2579,100.0,82.2
2019-12-09 12:34:02,124,552,209988,17421,60.0,70.1
2019-12-09 14:15:00,5,4,7008,14144,42.7,75.9
2019-12-09 14:16:03,31,36,13660,6582,41.1,76.1
2019-12-09 14:17:04,0,0,2286,20766,39.2,76.5
2019-12-09 14:18:05,0,0,6037,5789,37.2,76.2
2019-12-09 14:19:06,0,0,7596,45308,37.2,76.4
2019-12-09 14:20:00,0,0,1159,50688,36.3,73.8
2019-12-09 14:21:05,34,62,20625,28439,51.0,76.0
2019-12-09 14:22:06,341,5069,63449,74039,65.1,78.0
2019-12-09 14:23:05,647,15034,7715,60716,52.5,77.9
2019-12-09 14:24:00,505,14281,4615,66605,34.7,77.7
2019-12-09 14:25:03,620,15319,12602,58086,42.3,76.5
2019-12-09 14:26:00,605,14035,2142,36401,51.0,76.5
2019-12-09 14:27:06,434,11995,11974,42550,50.6,76.5
2019-12-09 14:28:03,366,10098,210639,31113,42.5,77.2
2019-12-09 14:29:04,403,11113,2764,27027,36.5,77.0
2019-12-09 14:30:00,371,9402,1392,27881,38.4,76.5
2019-12-09 14:31:01,404,10404,5679,23602,37.2,77.3
2019-12-09 14:47:06,2691,74871,113555,166659,50.0,89.6
2019-12-09 14:48:02,3453,101931,36704,190779,48.1,89.6
2019-12-09 14:49:14,3579,98101,1111946,378144,41.5,85.0
2019-12-09 14:50:02,10,12,1011856,19121,38.5,83.8
2019-12-09 14:51:02,17,18,1077714,513161,38.3,79.8
2019-12-09 14:52:02,11,17,988485,1198284,32.6,81.2
2019-12-09 14:53:06,28,130,1463465,577266,45.1,80.8
2019-12-09 14:54:05,12,29,1292445,39309,55.6,82.7
2019-12-09 17:24:04,7,4,2362,5005,43.9,76.4
2019-12-09 17:25:02,4,1,3330,2356,40.3,75.9
2019-12-09 17:26:05,8,5,3862,16154,36.7,76.2
2019-12-09 17:27:01,28,324,8050,8131,33.1,76.1
2019-12-09 18:26:27,33,59,84342,13890,61.6,79.1
2019-12-09 18:27:05,223,399,321007,65027,91.2,78.7
2019-12-09 18:28:02,56,129,163374,17088,36.6,78.2
2019-12-09 18:29:00,47,107,6996,5879,38.5,77.2
2019-12-09 18:30:03,9,62,2329,9224,29.5,76.4
2019-12-09 18:31:06,13,111,1523,2398,29.6,76.5
2019-12-09 18:32:04,59,100,4990,7069,34.7,75.4
2019-12-09 18:33:10,658,38712,112980,28509,62.6,78.1
2019-12-09 18:34:05,640,49970,130485,18444,68.6,77.2
2019-12-09 18:35:01,57,122,3178,3888,33.4,76.9
2019-12-09 18:36:06,81,2477,1671,4286,43.5,77.3
2019-12-09 18:37:01,116,8881,9202,22784,60.0,76.8
2019-12-09 18:38:03,72,3676,2588,8265,51.8,76.7
2019-12-09 18:39:02,106,6926,18079,4338,45.5,76.6
2019-12-09 18:40:03,97,9182,1363,3346,54.8,76.7
2019-12-09 18:41:04,94,9432,2182,6664,53.1,76.6
2019-12-09 18:42:06,107,9221,1245,8052,54.5,75.6
2019-12-09 18:43:02,85,4564,823,3399,42.0,76.1
2019-12-09 18:44:02,96,8212,13591,9592,54.7,76.6
2019-12-09 18:45:00,66,5649,954,3789,48.9,76.4
2019-12-09 18:46:00,84,8370,1536,4950,53.2,76.5
2019-12-09 18:47:07,100,9132,2151,10951,52.6,76.3
2019-12-09 18:48:02,470,42740,2314,4304,57.9,74.6
2019-12-09 18:49:00,67,2583,3013,9171,48.7,74.3
2019-12-09 18:50:05,55,1249,1220,5550,49.0,74.0
2019-12-09 18:51:07,279,20942,1118,10085,55.7,75.6
2019-12-09 18:52:06,114,9290,1519,26640,55.3,73.3
2019-12-09 18:53:05,129,11617,1044,4651,54.7,73.4
2019-12-09 18:54:03,73,6768,692,3493,52.4,73.2
2019-12-09 18:55:03,67,6146,937,6587,54.6,72.8
2019-12-09 18:56:02,95,9677,995,3770,53.5,72.9
2019-12-09 18:57:00,134,11565,819,8690,54.4,69.8
2019-12-09 18:58:06,125,10945,1318,5832,50.4,69.9
2019-12-09 18:59:04,90,8040,749,3572,51.5,70.1
2019-12-09 19:00:02,93,9498,1179,3772,50.7,70.2
2019-12-09 19:01:01,113,12264,5017,7783,54.1,69.9
2019-12-09 19:02:01,141,13005,860,13029,55.6,66.2
2019-12-09 19:03:07,132,14373,189111,4539,54.4,66.4
2019-12-09 19:04:07,63,5875,418345,4501,55.6,66.0
2019-12-09 19:05:05,110,10226,2613,5200,55.0,66.6
2019-12-09 19:06:05,89,8448,835,4594,65.2,66.6
2019-12-09 19:07:05,140,14259,1706,21572,56.0,66.0
2019-12-09 19:08:02,98,9506,1064,4636,50.5,66.2
2019-12-09 19:09:00,86,9993,380,3490,51.1,66.1
2019-12-09 19:10:05,114,11859,753,4407,50.7,66.3
2019-12-09 19:11:04,78,6397,194785,9298,57.4,66.6
2019-12-09 19:12:02,109,10113,512,23130,53.8,65.0
2019-12-09 19:13:01,111,13311,174850,3826,53.2,65.1
2019-12-09 19:14:06,109,8528,349578,4276,51.5,64.9
2019-12-09 19:15:03,54,5024,757,2989,47.6,65.0
2019-12-09 19:16:02,82,9690,684,3532,51.3,65.1
2019-12-09 19:17:00,142,13984,4696,7273,54.8,65.4
2019-12-09 19:18:05,141,13617,1138,6197,48.8,64.9
2019-12-09 19:19:02,83,8840,589,5379,46.5,64.8
2019-12-09 19:20:00,91,10498,405,3010,50.0,65.1
2019-12-09 19:21:06,101,10150,10092,4346,53.4,65.8
2019-12-09 19:22:03,117,12182,680510,33693,56.1,65.0
2019-12-09 19:23:00,73,6208,499,3380,50.9,66.4
2019-12-09 19:24:04,92,9456,598,3555,49.4,66.4
2019-12-09 19:25:01,86,8839,757,3015,50.7,66.4
2019-12-09 19:26:06,114,11002,19089,4164,51.1,66.5
2019-12-09 19:27:05,217,12968,10482,36673,59.2,68.4
2019-12-09 19:28:03,82,7315,407107,8318,56.1,68.0
2019-12-09 19:29:06,78,3534,18657,10649,45.7,69.2
2019-12-09 19:30:03,82,3824,748,5087,47.2,69.2
2019-12-09 19:31:01,74,6731,393,3523,50.6,69.2
2019-12-09 19:32:00,154,12919,4355,18014,57.3,69.8
2019-12-09 19:33:05,137,12707,4722,8811,52.9,70.1
2019-12-09 19:34:00,101,8562,7427,7607,58.4,71.6
2019-12-09 19:35:02,40,946,169867,371344,45.8,71.2
2019-12-09 19:36:03,37,89,62640,48249,40.1,72.1
2019-12-09 19:37:04,33,72,3044,11549,34.4,71.4
2019-12-09 19:38:03,24,69,892,21012,31.8,70.8
2019-12-09 19:39:03,20,71,430,2898,32.1,70.8
2019-12-09 19:40:03,29,215,6424,5865,37.3,71.6
2019-12-09 19:41:02,20,64,5540,3826,34.3,71.2
2019-12-09 19:42:01,49,83,1241,26464,32.0,70.8
2019-12-09 19:43:00,23,71,2510,4404,33.4,70.8
2019-12-09 19:44:00,18,62,2558,5185,31.9,69.2
2019-12-09 19:45:05,17,61,819,4613,31.0,69.3
2019-12-09 19:46:04,19,122,311,3041,31.9,69.5
2019-12-09 19:47:03,56,122,409,7383,33.0,69.0
2019-12-09 19:48:02,18,62,823,4308,31.4,69.1
2019-12-09 19:49:01,42,89,1669,5033,32.0,68.9
2019-12-09 19:50:00,29,180,499,3670,30.8,68.9
2019-12-09 19:51:06,25,83,520,4410,31.3,68.8
2019-12-09 19:52:05,43,84,753,11399,31.9,68.9
2019-12-09 19:53:03,21,85,421,5587,31.0,69.0
2019-12-09 19:54:01,18,80,802,3801,29.8,69.1
2019-12-09 19:55:00,40,114,6983,8586,32.5,69.9
2019-12-09 19:56:06,23,110,9411,9501,32.4,69.1
2019-12-09 19:57:04,56,118,2368,10189,32.0,69.0
2019-12-09 19:58:03,21,68,503,4100,30.2,69.1
2019-12-09 19:59:02,20,63,5624,4150,35.0,70.2
2019-12-09 20:00:00,157,9121,8526,6427,62.8,72.6
2019-12-09 20:01:03,252,12333,9540,9869,63.2,72.6
2019-12-09 20:02:05,167,10884,1105,38019,56.9,72.3
